"Berlare","https://lblod.berlare.be/LBLODWeb/Home/Overzicht/","0 6 1/4 * *"
"horebeke","https://lblod.horebeke.be/LBLODWeb/Home/Overzicht/","20 19 2/4 * *"
"Niel","https://lblod.niel.be/LBLODWeb/Home/Overzicht/","30 18 1/4 * *"
"nieuwpoort","https://lblod.nieuwpoort.be/LBLODWeb/Home/Overzicht/","40 17 3/4 * *"
"heuvelland","https://lblod.heuvelland.be/LBLODWeb/Home/Overzicht/","30 18 2/4 * *"
"lendelede","https://lblod.lendelede.be/LBLODWeb/Home/Overzicht/","30 13 3/4 * *"
"kluisbergen","https://lblod.kluisbergen.be/LBLODWeb/Home/Overzicht/","0 6 3/4 * *"
"oosterzele","https://lblod.oosterzele.be/LBLODWeb/Home/Overzicht/","20 19 3/4 * *"
"Ronse","https://lblod.ronse.be/LBLODWeb/Home/Overzicht/","20 19 1/4 * *"
"west-vlaanderen","https://lblod.west-vlaanderen.be/LBLODWeb/Home/Overzicht/","10 10 4/4 * *"
"Zele","https://lblod.zele.be/LBLODWeb/Home/Overzicht/","50 6 2/4 * *"
"zelzate","https://lblod.zelzate.be/LBLODWeb/Home/Overzicht/","30 13 4/4 * *"
"de panne","https://lblod.depanne.be/LBLODWeb/Home/Overzicht/","10 15 2/4 * *"
"lebbeke","https://lblod.lebbeke.be/LBLODWeb/Home/Overzicht/","0 11 3/4 * *"
"Veurne","https://lblod.veurne.be/LBLODWeb/Home/Overzicht/","50 21 1/4 * *"
"lede","https://lblod.lede.be/LBLODWeb/Home/Overzicht/","50 11 3/4 * *"
"laarne","https://lblod.laarne.be/LBLODWeb/Home/Overzicht/","20 9 3/4 * *"
"Zwevegem","https://lblod.zwevegem.be/LBLODWeb/Home/Overzicht/","10 10 2/4 * *"
"kruibeke","https://lblod.kruibeke.be/LBLODWeb/Home/Overzicht/","30 8 3/4 * *"
"Zottegem","https://lblod.zottegem.be/LBLODWeb/Home/Overzicht/","30 8 2/4 * *"
"Sint-Lievens-Houtem","https://lblod.sint-lievens-houtem.be/LBLODWeb/Home/Overzicht/","10 20 1/4 * *"
"Blankenberge","https://lblod.blankenberge.be/LBLODWeb/Home/Overzicht/","50 6 1/4 * *"
"landen","https://lblod.landen.be/LBLODWeb/Home/Overzicht/","10 10 3/4 * *"
"dendermonde","https://lblod.dendermonde.be/LBLODWeb/Home/Overzicht/","20 14 2/4 * *"
"merelbeke","https://lblod.merelbeke.be/LBLODWeb/Home/Overzicht/","10 15 3/4 * *"
"Lochristi","https://lblod.lochristi.be/LBLODWeb/Home/Overzicht/","10 15 1/4 * *"
"wichelen","https://lblod.wichelen.be/LBLODWeb/Home/Overzicht/","50 11 4/4 * *"
"jabbeke","https://lblod.jabbeke.be/LBLODWeb/Home/Overzicht/","50 21 2/4 * *"
"wetteren","https://lblod.wetteren.be/LBLODWeb/Home/Overzicht/","0 11 4/4 * *"
"vleteren","https://lblod.vleteren.be/LBLODWeb/Home/Overzicht/","40 7 4/4 * *"
"stekene","https://lblod.stekene.be/LBLODWeb/Home/Overzicht/","0 6 4/4 * *"
"Mechelen","https://lblod.mechelen.be/LBLODWeb/Home/Overzicht/","50 16 1/4 * *"
