974,"Sint-Martens-Latem"
969,"Halen"
958,"Zoutleeuw"
944,"Zandhoven"
935,"Beernem"
929,"Linter"
927,"Gingelom"
921,"Berendrecht-Zandvliet-Lillo"
915,"Herent"
885,"Pepingen"
854,"Sint-Laureins"
850,"Merksplas"
850,"Hooglede"
829,"Lennik"
810,"Deurne"
786,"Koekelare"
751,"Wilrijk"
745,"Herenthout"
743,"Kuurne"
731,"Wachtebeke"
728,"Herne"
721,"Oostrozebeke"
701,"Lint"
697,"Moerbeke"
687,"Jabbeke"
687,"Oosterzele"
685,"Galmaarden"
681,"Pittem"
670,"Waasmunster"
656,"Ruiselede"
647,"Glabbeek"
643,"Opwijk"
635,"Retie"
618,"Sint-Genesius-Rode"
596,"Lichtervelde"
576,"Aartselaar"
558,"Rijkevorsel"
549,"Dentergem"
539,"Borgerhout"
530,"Tienen"
517,"Hoegaarden"
495,"Ardooie"
397,"Zuienkerke"
370,"Merksem"
313,"Vleteren"
236,"Bierbeek"
203,"Bever"
195,"Spiere-Helkijn"
173,"Oudenburg"
128,"Destelbergen"
40,"Mesen"
11,"Baarle-Hertog"
