"Diepenbeek","https://raadpleeg-diepenbeek.onlinesmartcities.be/zittingen/lijst","9 13 1/3 * *"
"Berlaar","https://raadpleeg-berlaar.onlinesmartcities.be/zittingen/lijst","24 10 1/3 * *"
"Beerse","https://raadpleeg-beerse.onlinesmartcities.be/zittingen/lijst","18 9 1/3 * *"
"Edegem","https://raadpleeg-edegem.onlinesmartcities.be/zittingen/lijst","48 14 1/3 * *"
"Dilsen-Stokkem","https://raadpleeg-dilsen-stokkem.onlinesmartcities.be/zittingen/lijst","15 14 1/3 * *"
"Bocholt","https://raadpleeg-bocholt.onlinesmartcities.be/zittingen/lijst","30 11 1/3 * *"
"Arendonk","https://raadpleeg-arendonk.onlinesmartcities.be/zittingen/lijst","39 7 1/3 * *"
"As","https://raadpleeg-as.onlinesmartcities.be/zittingen/lijst","12 8 1/3 * *"
"Aalst","https://raadpleeg-aalst.onlinesmartcities.be/zittingen/lijst","0 6 1/3 * *"
"Beveren","https://raadpleeg-beveren.onlinesmartcities.be/zittingen/lijst","57 10 1/3 * *"
"Genk","https://raadpleeg-genk.onlinesmartcities.be/zittingen/lijst","54 15 1/3 * *"
"Aalter","https://raadpleeg-aalter.onlinesmartcities.be/zittingen/lijst","6 7 1/3 * *"
"Geel","https://raadpleeg-geel.onlinesmartcities.be/zittingen/lijst","21 15 1/3 * *"
"Borsbeek","https://raadpleeg-borsbeek.onlinesmartcities.be/zittingen/lijst","36 12 1/3 * *"
"Diest","https://raadpleeg-diest.onlinesmartcities.be/zittingen/lijst","42 13 1/3 * *"
"Beringen","https://raadpleeg-beringen.onlinesmartcities.be/zittingen/lijst","51 9 1/3 * *"
"Borgloon","https://raadpleeg-borgloon.onlinesmartcities.be/zittingen/lijst","3 12 1/3 * *"
"Baarle-Hertog","https://raadpleeg-baarle-hertog.onlinesmartcities.be/zittingen/lijst","45 8 1/3 * *"
"Lommel","https://raadpleeg-lommel.onlinesmartcities.be/zittingen/lijst","39 7 2/3 * *"
"Maaseik","https://raadpleeg-maaseik.onlinesmartcities.be/zittingen/lijst","45 8 2/3 * *"
"Provincie-Antwerpen","https://www.provincieantwerpen.be/provinciebestuur/politiek-bestuur","24 10 3/3 * *"
"Oost-Vlaanderen","https://raadpleeg-oost-vlaanderen.onlinesmartcities.be/zittingen/lijst","30 11 2/3 * *"
"Laakdal","https://tobibus-laakdal.azurewebsites.net/LBLOD","12 8 3/3 * *"
"Turnhout","https://raadpleeg-turnhout.onlinesmartcities.be/zittingen/lijst","6 18 2/3 * *"
"Maasmechelen","https://raadpleeg-maasmechelen.onlinesmartcities.be/zittingen/lijst","18 9 2/3 * *"
"Eeklo","https://tobibus-eeklo.azurewebsites.net/LBLOD","39 7 3/3 * *"
"Lokeren","https://raadpleeg-lokeren.onlinesmartcities.be/zittingen/lijst","6 7 2/3 * *"
"Sint-Niklaas","https://raadpleeg-sint-niklaas.onlinesmartcities.be/zittingen/lijst","21 15 2/3 * *"
"Pelt","https://tobibus-pelt.azurewebsites.net/LBLOD","18 9 3/3 * *"
"Halen","https://raadpleeg-halen.onlinesmartcities.be/zittingen/lijst","33 17 1/3 * *"
"Zutendaal","https://raadpleeg-zutendaal.onlinesmartcities.be/zittingen/lijst","30 22 2/3 * *"
"Nieuwerkerken","https://raadpleeg-nieuwerkerken.onlinesmartcities.be/zittingen/lijst","24 10 2/3 * *"
"Peer","https://raadpleeg-peer.onlinesmartcities.be/zittingen/lijst","42 13 2/3 * *"
"Zwijndrecht","https://raadpleeg-zwijndrecht.onlinesmartcities.be/zittingen/lijst","0 6 3/3 * *"
"Zonhoven","https://raadpleeg-zonhoven.onlinesmartcities.be/zittingen/lijst","57 21 2/3 * *"
"Bilzen","https://tobibus-bilzen.azurewebsites.net/LBLOD","6 7 3/3 * *"
"Tessenderlo","https://raadpleeg-tessenderlo.onlinesmartcities.be/zittingen/lijst","0 17 2/3 * *"
"Ravels","https://raadpleeg-ravels.onlinesmartcities.be/zittingen/lijst","15 14 2/3 * *"
"Wijnegem","https://raadpleeg-wijnegem.onlinesmartcities.be/zittingen/lijst","51 20 2/3 * *"
"Westerlo","https://raadpleeg-westerlo.onlinesmartcities.be/zittingen/lijst","18 20 2/3 * *"
"Heist-op-den-Berg","https://raadpleeg-heist-op-den-berg.onlinesmartcities.be/zittingen/lijst","51 20 1/3 * *"
"Leopoldsburg","https://raadpleeg-leopoldsburg.onlinesmartcities.be/zittingen/lijst","33 6 2/3 * *"
"Liedekerke","https://liedekerke.powerappsportals.com/bestuur-en-beleid/","30 11 3/3 * *"
"Stabroek","https://tobibus-stabroek.azurewebsites.net/LBLOD","51 9 3/3 * *"
"Vosselaar","https://raadpleeg-vosselaar.onlinesmartcities.be/zittingen/lijst","45 19 2/3 * *"
"Haacht","https://raadpleeg-haacht.onlinesmartcities.be/zittingen/lijst","0 17 1/3 * *"
"Wuustwezel","https://raadpleeg-wuustwezel.onlinesmartcities.be/zittingen/lijst","24 21 2/3 * *"
"Tongeren","https://raadpleeg-tongeren.onlinesmartcities.be/zittingen/lijst","33 17 2/3 * *"
"Langemark-Poelkapelle","https://raadpleeg-langemark-poelkapelle.onlinesmartcities.be/zittingen/lijst","0 6 2/3 * *"
"Heers","https://raadpleeg-heers.onlinesmartcities.be/zittingen/lijst","18 20 1/3 * *"
"Halle","https://raadpleeg-halle.onlinesmartcities.be/zittingen/lijst","6 18 1/3 * *"
"Hamont-Achel","https://raadpleeg-hamont-achel.onlinesmartcities.be/zittingen/lijst","12 19 1/3 * *"
"Mortsel","https://raadpleeg-mortsel.onlinesmartcities.be/zittingen/lijst","51 9 2/3 * *"
"Gingelom","https://raadpleeg-gingelom.onlinesmartcities.be/zittingen/lijst","27 16 1/3 * *"
"Opwijk","https://raadpleeg-opwijk.onlinesmartcities.be/zittingen/lijst","36 12 2/3 * *"
"Balen","https://edocs.balen.be/suite-consult/zittingen/lijst","57 10 3/3 * *"
"Kortessem","https://raadpleeg-kortessem.onlinesmartcities.be/zittingen/lijst","57 21 1/3 * *"
"Outsbergen","https://tobibus-oudsbergen.azurewebsites.net/LBLOD","45 8 3/3 * *"
"Nijlen","https://raadpleeg-nijlen.onlinesmartcities.be/zittingen/lijst","57 10 2/3 * *"
"Kortrijk","https://raadpleeg-kortrijk.onlinesmartcities.be/zittingen/lijst","30 22 1/3 * *"
"Vilvoorde","https://raadpleeg-vilvoorde.onlinesmartcities.be/zittingen/lijst","39 18 2/3 * *"
"Sint-Truiden","https://raadpleeg-sint-truiden.onlinesmartcities.be/zittingen/lijst","27 16 2/3 * *"
"sint-katelijne-waver","https://raadpleeg-skw.onlinesmartcities.be/zittingen/lijst","33 6 3/3 * *"
"Oostende","https://raadpleeg-oostende.onlinesmartcities.be/zittingen/lijst","3 12 2/3 * *"
"Rumst","https://raadpleeg-rumst.onlinesmartcities.be/zittingen/lijst","48 14 2/3 * *"
"Hechtel-eksel","https://raadpleeg-hechtel-eksel.onlinesmartcities.be/zittingen/lijst","45 19 1/3 * *"
"Ham","https://raadpleeg-ham.onlinesmartcities.be/zittingen/lijst","39 18 1/3 * *"
"Vorselaar","https://raadpleeg-vorselaar.onlinesmartcities.be/zittingen/lijst","12 19 2/3 * *"
"Herentals","https://raadpleeg-herentals.onlinesmartcities.be/zittingen/lijst","24 21 1/3 * *"
"Lummen","https://raadpleeg-lummen.onlinesmartcities.be/zittingen/lijst","12 8 2/3 * *"
