661,"Staden"
659,"Deurne"
649,"Gooik"
648,"Tielt"
644,"Brakel"
640,"Herenthout"
632,"Opwijk"
630,"Wachtebeke"
627,"Hooglede"
624,"Moerbeke"
621,"Herne"
603,"Lint"
589,"Wilrijk"
583,"Retie"
575,"Waasmunster"
572,"Galmaarden"
561,"Sint-Martens-Latem"
549,"Affligem"
547,"Zwalm"
532,"Kuurne"
524,"Glabbeek"
517,"Merksplas"
509,"Pittem"
508,"Koekelare"
497,"Borgerhout"
496,"Zoutleeuw"
494,"Kruisem"
486,"Sint-Genesius-Rode"
470,"Oostrozebeke"
460,"Alveringem"
455,"Dentergem"
448,"Geetbets"
441,"Lichtervelde"
423,"Ardooie"
416,"Ruiselede"
397,"Zuienkerke"
354,"Hoegaarden"
332,"Merksem"
325,"Vleteren"
279,"Baarle-Hertog"
236,"Bierbeek"
221,"Rijkevorsel"
200,"Aartselaar"
180,"Tienen"
135,"Bever"
128,"Destelbergen"
126,"Spiere-Helkijn"
29,"Mesen"
5,"Oudenburg"
